Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_material_ID,SRA Study
SRR10664999,AMPLICON,501,9993468,PRJNA594727,SAMN13527561,Metagenome or environmental,5319244,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7344130,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse220,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M220,Maternal_Vaginal_M14,SRP236063
SRR10665000,AMPLICON,501,27594,PRJNA594727,SAMN13527560,Metagenome or environmental,98689,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX7344128,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse219,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M219,Placenta_M12,SRP236063
SRR10665001,AMPLICON,501,50174,PRJNA594727,SAMN13527559,Metagenome or environmental,115156,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX7344127,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse218,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M218,Maternal_Liver_M13,SRP236063
SRR10665002,AMPLICON,501,102348707,PRJNA594727,SAMN13527558,Metagenome or environmental,62293701,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX7344126,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse216,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M216,Maternal_Oral_M5,SRP236063
SRR10665003,AMPLICON,501,9030,PRJNA594727,SAMN13527390,Metagenome or environmental,87420,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX7344129,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse21,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M21,Fetal_Lung_M15,SRP236063
SRR10665004,AMPLICON,501,175531,PRJNA594727,SAMN13527557,Metagenome or environmental,193298,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX7344125,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse215,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M215,Fetal_Intestine_M4,SRP236063
SRR10665005,AMPLICON,501,73409147,PRJNA594727,SAMN13527556,Metagenome or environmental,45459648,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX7344124,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse214,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M214,Maternal_Distal_Intestine_M12,SRP236063
SRR10665006,AMPLICON,501,76739,PRJNA594727,SAMN13527555,Metagenome or environmental,133190,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7344123,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse213,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M213,Maternal_Liver_M10,SRP236063
SRR10665007,AMPLICON,501,50152,PRJNA594727,SAMN13527554,Metagenome or environmental,116751,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX7344122,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse211,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M211,Uterus_M5,SRP236063
SRR10665008,AMPLICON,501,58668,PRJNA594727,SAMN13527553,Metagenome or environmental,118476,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7344121,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse210,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M210,Maternal_Peritoneum_M6,SRP236063
SRR10665009,AMPLICON,501,49373727,PRJNA594727,SAMN13527552,Metagenome or environmental,31312024,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX7344120,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse209,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M209,Maternal_Distal_Intestine_M8,SRP236063
SRR10665010,AMPLICON,501,41121,PRJNA594727,SAMN13527551,Metagenome or environmental,109671,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7344119,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse208,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M208,Fetal_Spleen_M12,SRP236063
SRR10665011,AMPLICON,501,72752,PRJNA594727,SAMN13527389,Metagenome or environmental,125200,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7344118,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse20,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M20,Kit_2,SRP236063
SRR10665012,AMPLICON,501,115396,PRJNA594727,SAMN13527550,Metagenome or environmental,155470,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7344117,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse207,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M207,Kit_19,SRP236063
SRR10665013,AMPLICON,501,21059,PRJNA594727,SAMN13527548,Metagenome or environmental,94148,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7344115,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse205,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M205,Fetal_Lung_M6,SRP236063
SRR10665014,AMPLICON,501,17545,PRJNA594727,SAMN13527547,Metagenome or environmental,93779,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7344114,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse204,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M204,Fetal_Spleen_M15,SRP236063
SRR10665015,AMPLICON,501,11029,PRJNA594727,SAMN13527546,Metagenome or environmental,88181,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7344113,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse203,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M203,Fetal_Tail_M9,SRP236063
SRR10665016,AMPLICON,501,18060,PRJNA594727,SAMN13527549,Metagenome or environmental,93083,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7344116,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse206,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M206,Fetal_Brain_M14,SRP236063
SRR10665017,AMPLICON,501,66254,PRJNA594727,SAMN13527545,Metagenome or environmental,123769,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7344112,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse202,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M202,Kit_18,SRP236063
SRR10665018,AMPLICON,501,98339,PRJNA594727,SAMN13527470,Metagenome or environmental,149642,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7344111,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse114,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M114,Maternal_Liver_M5,SRP236063
SRR10665019,AMPLICON,501,56673,PRJNA594727,SAMN13527544,Metagenome or environmental,120672,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7344048,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse200,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M200,Fetal_Spleen_M8,SRP236063
SRR10665020,AMPLICON,501,106899,PRJNA594727,SAMN13527469,Metagenome or environmental,149046,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7344110,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse112,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M112,Maternal_Peritoneum_M15,SRP236063
SRR10665021,AMPLICON,501,281264,PRJNA594727,SAMN13527468,Metagenome or environmental,271558,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7344109,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse111,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M111,Kit_10,SRP236063
SRR10665022,AMPLICON,501,1859334,PRJNA594727,SAMN13527467,Metagenome or environmental,1215482,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX7344108,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse110,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M110,Maternal_Skin_M7,SRP236063
SRR10665023,AMPLICON,501,30018765,PRJNA594727,SAMN13527466,Metagenome or environmental,16290188,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7344107,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse109,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M109,Maternal_Vaginal_M12,SRP236063
SRR10665024,AMPLICON,501,13040,PRJNA594727,SAMN13527464,Metagenome or environmental,89174,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX7344105,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse107,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M107,Maternal_Lung_M5,SRP236063
SRR10665025,AMPLICON,501,9533,PRJNA594727,SAMN13527463,Metagenome or environmental,87575,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7344104,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse105,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M105,Fetal_Tail_M7,SRP236063
SRR10665026,AMPLICON,501,48164,PRJNA594727,SAMN13527462,Metagenome or environmental,112259,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7344103,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse104,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M104,Maternal_Lung_M13,SRP236063
SRR10665027,AMPLICON,501,92284,PRJNA594727,SAMN13527465,Metagenome or environmental,145882,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7344106,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse108,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M108,Maternal_Liver_M15,SRP236063
SRR10665028,AMPLICON,501,16061,PRJNA594727,SAMN13527461,Metagenome or environmental,90550,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7344102,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse103,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M103,Maternal_Cervix_M5,SRP236063
SRR10665029,AMPLICON,501,137458,PRJNA594727,SAMN13527380,Metagenome or environmental,172682,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX7344101,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse11,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M11,Maternal_Heart_M5,SRP236063
SRR10665030,AMPLICON,501,307922,PRJNA594727,SAMN13527460,Metagenome or environmental,284432,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX7344100,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse101,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M101,Dacron_5,SRP236063
SRR10665031,AMPLICON,501,149993599,PRJNA594727,SAMN13527459,Metagenome or environmental,89929101,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX7344099,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse100,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M100,Maternal_Oral_M9,SRP236063
SRR10665032,AMPLICON,501,114385,PRJNA594727,SAMN13527457,Metagenome or environmental,159119,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX7344097,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse98,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M98,Maternal_Liver_M12,SRP236063
SRR10665033,AMPLICON,501,94753,PRJNA594727,SAMN13527456,Metagenome or environmental,149416,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX7344096,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse97,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M97,Fetal_Tail_M14,SRP236063
SRR10665034,AMPLICON,501,93339,PRJNA594727,SAMN13527455,Metagenome or environmental,137330,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX7344095,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse96,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M96,Fetal_Liver_M6,SRP236063
SRR10665035,AMPLICON,501,70489042,PRJNA594727,SAMN13527458,Metagenome or environmental,42772779,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX7344098,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse99,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M99,Maternal_Proximal_Intestine_M12,SRP236063
SRR10665036,AMPLICON,501,57674,PRJNA594727,SAMN13527454,Metagenome or environmental,121608,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX7344094,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse94,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M94,Maternal_Liver_M4,SRP236063
SRR10665037,AMPLICON,501,312812,PRJNA594727,SAMN13527453,Metagenome or environmental,276801,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7344093,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse93,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M93,Maternal_Skin_M14,SRP236063
SRR10665038,AMPLICON,501,47138,PRJNA594727,SAMN13527452,Metagenome or environmental,114990,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX7344092,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse91,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M91,Fetal_Intestine_M7,SRP236063
SRR10665039,AMPLICON,501,182625,PRJNA594727,SAMN13527451,Metagenome or environmental,192120,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7344091,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse90,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M90,Maternal_Peritoneum_M7,SRP236063
SRR10665040,AMPLICON,501,61701,PRJNA594727,SAMN13527505,Metagenome or environmental,122097,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7344089,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse153,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M153,Maternal_Cervix_M14,SRP236063
SRR10665041,AMPLICON,501,45148,PRJNA594727,SAMN13527504,Metagenome or environmental,110902,WAYNE STATE UNIVERSITY,2018-10-01,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7344088,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse152,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M152,Fetal_Spleen_M14,SRP236063
SRR10665042,AMPLICON,501,27090,PRJNA594727,SAMN13527503,Metagenome or environmental,98334,WAYNE STATE UNIVERSITY,2018-10-01,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7344087,USA,North America,USA: Detroit,Mus musculus,Illumina MiSeq,37.36666 N 80.53333 W,Mouse151,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2020-01-14T00:00:00Z,M151,Fetal_Liver_M9,SRP236063
